category,price,currency,price_1m2,title,address,floor,area,title_deed,repair,mortgage,url,room_number
Yeni tikili,145 000,AZN,2 900 AZN/m²,"Satılır 2 otaqlı yeni tikili 50 m², Binəqədi r.",Atatürk pr. 20,5 / 9,50 m²,var,var,,https://bina.az/items/3766592,2.0
Köhnə tikili,124 000,AZN,2 070 AZN/m²,"Satılır 2 otaqlı köhnə tikili 60 m², Xalqlar Dostluğu m.",E. Süleymanov küç.,3 / 5,60 m²,var,var,var,https://bina.az/items/3621478,2.0
Yeni tikili,275 000,AZN,2 290 AZN/m²,"Satılır 3 otaqlı yeni tikili 120 m², Elmlər Akademiyası m.",Şəfayət Mehdiyev küç. 97,16 / 25,120 m²,var,var,var,https://bina.az/items/3653100,3.0
Yeni tikili,360 000,AZN,2 770 AZN/m²,"Satılır 3 otaqlı yeni tikili 130 m², Gənclik m.",N.B.Yusifbəyli küçəsi,17 / 18,130 m²,var,var,var,https://bina.az/items/3836241,3.0
Yeni tikili,375 000,AZN,2 610 AZN/m²,"Satılır 3 otaqlı yeni tikili 143.5 m², 8 Noyabr m.",Ə.Salamzadə küçəsi,3 / 13,143.5 m²,var,var,,https://bina.az/items/3836229,3.0
Yeni tikili,165 000,AZN,2 430 AZN/m²,"Satılır 2 otaqlı yeni tikili 68 m², Neftçilər m.",M.Çobanzadə küç 17.,12 / 17,68 m²,yoxdur,var,,https://bina.az/items/3836228,2.0
Yeni tikili,105 000,AZN,1 210 AZN/m²,"Satılır 3 otaqlı yeni tikili 87 m², Qaradağ r.",Cənnət park yaşayış kompleksi,3 / 10,87 m²,var,var,,https://bina.az/items/3836224,3.0
Yeni tikili,186 000,AZN,1 660 AZN/m²,"Satılır 3 otaqlı yeni tikili 112 m², Həzi Aslanov q.",Xudu Memmedov,5 / 17,112 m²,var,var,,https://bina.az/items/3836123,3.0
Yeni tikili,138 000,AZN,2 230 AZN/m²,"Satılır 3 otaqlı yeni tikili 62 m², Qara Qarayev m.",Alif Haciyev küçəsi,11 / 16,62 m²,var,var,var,https://bina.az/items/3836206,3.0
Yeni tikili,400 000,AZN,2 500 AZN/m²,"Satılır 4 otaqlı yeni tikili 160 m², Xətai r.",Mərkəzi Bulvar küç. 76,6 / 7,160 m²,yoxdur,yoxdur,,https://bina.az/items/3670689,4.0
